oid,name,name_en,type,address_manual,phone,www,email,for_disabled,ogrn,inn,coord
4329,"Драматический театр ""На Литейном""",State Dramatic Theatre on Liteyny,Государственное областное учреждение,"191104, Санкт-Петербург, Литейный пр., 51","+7(812)2735335, +7(812)273-78-94",www.naliteinom.ru,teater.naliteinom@yandex.ru,0,1027809231691,7825337939,"59.937116,30.346923"
4330,Интерьерный театр,Interior Theatre,негосударственное учреждение,"191025, Санкт-Петербург, Невский пр., д.104",+7(812)2731454,www.spb-ith.ru,info@spb-ith.ru,0,1117847673811,7808027415,"59.931765,30.356768"
4331,"Камерный музыкальный театр ""Санктъ-Петербургъ Опера""","""St. Petersburg Opera"" Chamber Music Theatre",гос. городское бюджетное учреждение,"190000, Санкт-Петербург, Галерная ул, д.33","+7 (812) 312-39-82, +7 (812) 314-22-83",www.spbopera.ru,spboperainfo@mail.ru,1,1027810322605,7812049482,"59.932824,30.292656"
4332,Камерный театр Малыщицкого,Malyshchitsky Chamber Theatre,негосударственное учреждение,"191014, Санкт-Петербург, ул. Восстания, д.41",+7(812)5798836;,www.vmtheatre.ru,mail@vmtheatre.ru,0,1037843130610,7803051460,"59.939879,30.360856"
4333,"Клоун-мим-театр ""Мимигранты""","""Mimigrants"" Clown-Mime Theatre",гос. городское учреждение,"Большой пр. В.О., 83, Санкт-Петербург, Россия, 199106 (Дворец культуры им. С.М. Кирова)","+7(812)678-96-01, +7(931)390-20-05",www.mimigrants.ru,"mimigrants@yandex.ru, pr-mim@mail.ru",0,1027810349710,7805007756,"59.913532,30.282118"
4335,"Музыкальный театр ""Карамболь""",Musical theatre 'Karambol',гос. городское  учреждение,"190103, Санкт-Петербург, Рижский пр., д.3, лит. Л",+7(812)575-21-42; (812) 575-12-44,www.teatrkarambol.ru,teatr-karambol@yandex.ru,0,1027810302563,7826673877,"59.914024,30.294803"
4336,"Новый театр ""АЛЕКО""","New Theatre ""ALEKO""",негосударственное учреждение,"196158, Санкт-Петербург, пр. Юрия Гагарина, д.42",+7 (812) 727-60-00,www.teatr-aleko.ru,9394243@gmail.com,0,1097800001970,784101001,"59.840646,30.339862"
4337,Санкт-Петербургский академический театр имени Ленсовета,Saint Petersburg Lensoviet Theatre,гос. городское учреждение,"191025, Санкт-Петербург, Владимирский пр., 12",+7(812)713-21-91,www.lensov-theatre.spb.ru,lensov@lensov-theatre.spb.ru,0,1037843030202,7808045220,"59.930074,30.348414"
4338,Санкт-Петербургский Большой театр кукол,Saint-Petersburg Big Theatre of Puppets,гос. городское учреждение,"191014, Санкт-Петербург, ул. Некрасова, д.10",+7(812)273-66-72; +7(812)272-82-15,www.puppets.ru,btkpuppets@gmail.com,0,1037843042830,7803007447,"59.939059,30.352052"
4339,Санкт-Петербургский государственный академический Театр балета имени Леонида Якобсона,Leonid Jacobson State Academic Ballet Theatre,гос. городское учреждение,"191014, Санкт-Петербург, ул. Маяковского, д.15",+7(812)273-19-97; 7 (812) 579-16-72,www.yacobsonballet.ru,office@yacobsonballet.ru,0,1037843130280,7803059741,"59.937774,30.356086"
4340,Санкт-Петербургский государственный академический театр оперы и балета им. М.П. Мусоргского - Михайловский театр,Mikhailovsky Opera and Ballet Theatre,гос. городское учреждение,"191011, Санкт-Петербург, Пл. Искусств, д.1",+7(812)5954305; +7(812)5954319,www.mikhailovsky.ru,office@mikhailovsky.ru,0,1027809224607,7830001525,"59.937756,30.329567"
4341,"Санкт-Петербургский государственный детский драматический театр ""На Неве""","Children's Drama Theatre ""On the Neva""",гос. городское учреждение,"190005, Санкт-Петербург, Измайловский пр., д.8, лит.А. (вход с Советского переулка)","+7(812) 575-04-21, +7 (812) 251-20-06",www.tnaneve.spb.ru,naneve@mail.ru,0,1027810234506,7825330764,"59.914047,30.309176"
4342,Санкт-Петербургское государственное бюджетное учреждение культуры «Кукольный театр сказки»,Puppet Fairy Tale Theatre,гос. городское бюджетное учреждение культуры,"196084, Санкт-Петербург, Московский пр., д.121",+7(812)388-00-31; +7(812) 387-54-75,www.teatrskazki.spb.ru,teatrskazki.1@yandex.ru,1,1037821032182,7810204157,"59.887431,30.318428"
4343,"Санкт-Петербургский государственный музыкально-драматический театр ""Буфф""",Buff Theatre,гос. городское учреждение,"195112, Санкт-Петербург, Заневский пр., д.26","8 (812) 573-95-95, 8 (921) 597-58-99",http://buffspb.ru/,buff@theatre-buff.spb.ru,0,1037825029857,7811019566,"59.931111,30.418572"
4344,"Санкт-Петербургский государственный театр ""Мастерская""","St. Petersburg Theatre ""Workshop""",гос. городское учреждение,"193079, Санкт-Петербург, Народная ул., д.1","+7(812) 922 21 42, (812) 446 67 67",www.vteatrekozlov.net,info@vteatrekozlov.net,0,1107800005389,7801269817,"59.877859,30.459841"
4345,Санкт-Петербургский государственный театр марионеток им. Е.С. Деммени,Demmeni Marionette Theatre,гос. городское учреждение,"191011, Санкт-Петербург, Невский пр., д.52",+7(812)5711900; +7(812)5712156; +7 (812) 310-58-79,www.demmeni.ru,marionetki@list.ru,0,1037843044491,7825337368,"59.934344,30.335927"
4346,Санкт-Петербургский государственный театр музыкальной комедии,Musical Comedy Theatre,гос. городское учреждение,"191186, Санкт-Петербург, Итальянская ул, 13","(812) 570-58-90, 570-53-16",web.muzcomedy.ru,teatr@muzcomedy.spb.ru,0,1037843033436,7825334649,"59.935913,30.333017"
4347,Санкт-Петербургский детский ледовый театр,Saint Petersburg State Ice Theatre,гос. городское учреждение,"192007, Санкт-Петербург, Лиговский пр., 148","+7 812 600 23 36,  +7 (812)335-75-75",ice-theater.ru,info@ice-theater.ru,0,1027808005477,7816088387,"59.913063,30.349887"
4348,Санкт-Петербургский Молодежный театр на Фонтанке,Youth Theatre on the Fontanka,гос. городское учреждение,"190005, Санкт-Петербург, наб. р. фонтанки, 114",+7(812)3166564; +7(812)5761985,www.mtfontanka.spb.ru,office@mtfontanka.spb.ru,0,1037851018688,7809010012,"59.918963,30.312266"
4349,"Санкт-Петербургский Молодежный театр на Фонтанке. Филиал ""Театр Дождей""","Youth Theatre ""Theatre of Rains"" (""Teatr Dozhdey"")",гос. городское учреждение,"190005, Санкт-Петербург, наб. реки Фонтанки, д.130",+7(812)2514190; +7(911) 997-57-10,www.rains.spb.ru,administrator@rains.spb.ru,0,5067847375140,7809063222,"59.917583,30.304531"
4351,"Санкт-Петербургский театр ""За Черной речкой""","Theatre ""Za Chornoy Rechkoi""",Автономное некоммерческое учреждение,"197348, Санкт-Петербург, Богатырский пр., д.4",+7(812)6433904,www.teatrzcr.ru,teatr-zcr@mail.ru,0,1037832053984,7814150760,"59.999260,30.291120"
4352,"Санкт-Петербургский театр ""Русская антреприза"" имени Андрея Миронова","Andrey Mironov Theatre ""Russian Enterprise""",негосударственное учреждение,"197022, Санкт-Петербург, Большой пр. П.С., д.75/35",+7(812)3461679,www.mironov-theatre.ru,mail@mironov-theatre.ru,0,1027809210285,7808039530,"59.937774,30.235433"
4353,"Санкт-Петербургский театр ""Особняк""","Theatre ""Mansion"" (""Osobnyak"")",негосударственное учреждение,"197022, Санкт-Петербург, Каменноостровский пр., д.55",+7(812)2342531; +7 931 598-12-34,osobnjak.ru,teatr-osobnjak@yandex.ru,0,1117847275622,7813021391,"59.971564,30.306849"
4354,"Санкт-Петербургский театр ""Русский балет""","Theatre ""Russian Ballet""",негосударственное учреждение,"191028, Санкт-Петербург, Литейный пр., 11 (арка, 3ий двор)",+7(812)5790226; +7(812)9663776;,"www.balet-spb.ru, русскийбалет.рф, балетспб.рф, www.rus-ballet.com",balet-spb@mail.ru,0,1027809181553,7825101933,"59.943350,30.343437"
4355,"Санкт-Петербургский театр ""Суббота""","Theatre ""Saturday""",гос. городское учреждение,"191119, Санкт-Петербург, ул. Звенигородская, д.30",+7(812)7648202,www.teatr-subbota.ru,theatreSubbota@yandex.ru,0,1037843043336,7825332987,"59.917506,30.342638"
4356,Санкт-Петербургский театр балета Константина Тачкина,Konstantin Tachkin St. Petersburg Ballet Theatre,негосударственное учреждение,"191028, Санкт-Петербург, Литейный пр., д.20",+7(812)3334148; +7(812)5788627;,www.spbt.ru,headoffice@spbt.ru,0,1027809191277,7825052161,"59.943575,30.349043"
4357,"Санкт-Петербургский театр пластики рук ""Hand Made""",St. Petersburg HandMade Theatre,Автономное некоммерческое  учреждение,"191114, Санкт-Петербург, ул. Моисеенко, д.24, лит. А",+7(905)2061338;,www.handmadetheatre.ru,hmtheatre@gmail.com,0,1127746123658,7705978480,"59.938536,30.391084"
4358,Санкт-Петербургский Театр Поколений им. З.Я. Корогодского,St.Petersburg Theatre of Generations,негосударственное учреждение,"197136, Санкт-Петербург, Лахтинская ул., д.25, лит. А",+7 911 245-85-90,www.pokoleniy.ru,teatr.pokoleniy@gmail.com,0,1057810068678,7811313656,"59.964169,30.296824"
4359,Санкт-Петербургский театральный центр на Коломенской,St. Petersburg Theatre Centre on Kolomenskaya street,негосударственное учреждение,"191119, Санкт-Петербург, Коломенская ул., д.43",+7(812)380-83-72; +7 (812) 764-57-10,www.privatetheatre.ru,tz-teater@mail.ru,0,-,-,"59.920799,30.349591"
4360,Такой театр,That Theatre,Автономная некоммерческая организация,"196084, Санкт-Петербург, м. Московские ворота, Московский проспект 107 к.5, 4 этаж. ""Площадка Скороход""","+7 952 229 82 00, +7 911 900 12 16",http://takoy-teatr.ru,takojteatr@yandex.ru,0,1027810275261,7826125574,"60.009462,30.246267"
4361,"Театр ""Кукольный формат""",KUKFO Theatre,Негосударственное учреждение,"191040, Санкт-Петербург, ул. Пушкинская, д.19","+7(812)9060457, 89110905060",www.kukfo.ru,kukfo@list.ru,0,1127800003154,7840290354,"59.927116,30.355565"
4362,"Театр ""Лицедеи""","Theatre ""Litsedei""",негосударственное учреждение,"197022, Санкт-Петербург, ул. Льва Толстого, д.9,  лит. А (ТРК ""Толстой сквер"")","+7 (921) 967 28 42,  +7 (812) 779-10-35",www.licedei.com,licedei-open@mail.ru,0,1089847263472,7813418936,"59.965021,30.315733"
4363,"Театр ""Плоды просвещения"" (ООО ""Масштаб"")","Theatre ""Fruits of Enlightenment""",негосударственное учреждение,"194358, Санкт-Петербург, пр. Энгельса, 154, лит. А (ТРК «Гранд Каньон», территория развития «Дивный город», 3-й этаж)",+7(812)6477011; +7(812)6775707,www.teatr-pp.ru,teatrpp@gmail.com,0,1117847163280,7802749407,"60.058987,30.334984"
4365,"Театр ""Рок-опера плюс""","Theatre ""Rock-Opera plus""",негосударственное учреждение,"190008, Санкт-Петербург, ул. Лабутина, д.36.",+7 (911) 242-19-55,rock-opera.ru,info@rock-opera.ru,0,1027810228071,7812014218,"59.916938,30.286799"
4366,"Театр ""Ювента"" Российского государственного педагогического университета им. А. И. Герцена","""Uventa"" the Theatre of the Herzen State Pedagogical University of Russia",ведомственное учреждение,"191186, Санкт-Петербург, пр. Юрия Гагарина, 42, ст.м.""Звездная"" (на сцене Театра ""Алеко"")","+7 (812) 987-33-43, +7 (911) 261-37-24",http://teatr-uventa.spb.ru/,teatr-uventa@yandex.ru,0,1127800004199,7802290466,"59.934813,30.321447"
4367,Театр Детского балета,Children's Ballet Theatre,гос. районное учреждение,"198152, Санкт-Петербург, ул. Новостроек, 25",+7(812)7846203;,http://www.children-ballet.ru/,children-ballet@yandex.ru,0,1027802728227,7805008950,"59.873388,30.270045"
4368,Театр драматических импровизаций,Drama Improvisation Theatre,негосударственное учреждение,"198188, Санкт-Петербург, проспект Стачек, д. 72 (Дворец культуры им. И.И. Газа, Малая сцена, 3-й этаж)",+7(921)0972817,www.drim.spb.ru,info@drim.spb.ru,0,1127847019849,7808018139,"59.878297,30.262832"
4370,"Театр кукол ""Бродячая собачка""","Puppet Theatre ""Wandering Doggy""",гос. районное учреждение,"198096, Санкт-Петербург, пр. Стачек, д.59","+7(812)7834327, 494-69-03",www.puppettheatre.spb.ru,sobachkadm@mail.ru,0,1027802735058,7805039035,"59.874020,30.258026"
4371,Театр эстрады имени Аркадия Райкина,Arkadiy Raikin Estrade Theatre,гос. городское учреждение,"191186, Санкт-Петербург, Большая Конюшенная ул., д.27",+7(812)3146661,www.estrada.spb.ru,info@estrada.spb.ru,0,1097847186656,7841409683,"59.936828,30.322246"
4372,Театр юных зрителей им. А. А. Брянцева,A. A. Bryantsev Youth Theatre,гос. городское учреждение,"191119, Санкт-Петербург, Пионерская пл, д.1",+7(812)7124102; +7(812)7641124;,www.tyuz-spb.ru,spb-tuz@mail.ru,0,1027810260543,7809007926,"59.919797,30.334912"
4373,"Театр-Концерт ""Вампука"" (АНО)","Theatre-Concert ""Vampuka""",негосударственное учреждение,"191040, Санкт-Петербург, Пушкинская ул., д. 10, лит. Б",+7(812)980-80-80,www.vampuka.ru,teatrvampuka@yandex.ru,0,1127800009512,7840290523,"59.929227,30.357792"
4374,"Театр-студия ""Небольшой драматический театр""","Theatre-Studio ""Little Drama Theatre""",гос. городское учреждение,"Санкт-Петербург, проспект КИМа, д.6 
Эко-лофт «Моrе Place»
метро «Приморская»",(812) 943-51-13,www.nebdt.ru,nebdt@mail.ru,0,1027810256319,7825424691,"59.926291,30.299869"
4375,"Театральное товарищество ""Комик-Трест""","Theatrical Community ""Comic-Trust""",негосударственное учреждение,"199004, Санкт-Петербург, В.О., 8-я линия, д.31, лит. А",+7(812)3281619;,www.comic-trust.com,theatre@comic-trust.com,0,1037832019752,7814083760,"59.942200,30.243877"
4376,"Учебный театр ""На Моховой""","Theatre ""On Mokhovaya street""",Государственное федеральное бюджетное учреждение,"191028, Санкт-Петербург, Моховая ул., 35","+7 (812)273-15-92,  +7 (812) 273-04-32",http://учебный-театр.рф/,nam300@mail.ru,0,1090640373255,1391018790,"59.940501,30.344830"
4379,Эрмитажный театр,Hermitage Theatre,Государственное федеральное учреждение,"191186, Санкт-Петербург, дворцовая наб., д.34",+7(812)7109030;,"http://www.hermitagemuseum.org/wps/portal/hermitage/what-s-on/articles/music_theatre/?lng=ru, https://vk.com/hermitagetheatre",theatre@hermitage.ru,0,1167847403569,7807140577,"59.941682,30.317719"
12748,Выборгский Дворец Культуры,Vyborgsky Palace of Culture,Негосударственное учреждение,"194044, Санкт-Петербург, ул. Комиссара Смирнова, д.15, лит. А","8 (812)542-38-39, 8 (812) 542-14-60",https://dkvdk.ru/,vdk2003@mail.ru,0,1027801536180,7802050312,"59.96303,30.348324"
15999,Новая сцена Александринского театра,The New Stage of Alexandrinsky Theatre,Гос. федеральное бюджетное учреждение культуры,"Санкт-Петербург, наб. реки Фонтанки, д. 49 А",+7 (812) 401-53-41,http://www.alexandrinsky.ru/,new@alexandrinsky.ru,1,1037843017761,7808006670,"59.930247,30.337740"
16000,Каменноостровский театр,Kamennoostrovsky Theatre,Гос. федеральное учреждение,"Санкт-Петербург, площадь Старого Театра, д.13","244-59-04, + 7 (921) 31-400-31",bdt.spb.ru,bdt@bdt.spb.ru,0,1037843003747,7808004288,"59.976771,30.275051"
16001,Мариинский-2,Mariinsky-2,федеральное государственное бюджетное учреждение культуры,"190121, Санкт-Петербург, ул. Декабристов, д.34",+7 812 326 41 41,https://www.mariinsky.ru/,post@mariinsky.ru,0,1027810251006,7812024600,"59.925710,30.294282"
16002,Концертный Зал Мариинского Театра,Concert Hall of the Mariinsky Theatre,федеральное государственное бюджетное учреждение культуры,"190121, Санкт-Петербург, ул. Писарева, д. 20 (вход с ул. Декабристов, 37)",+7 812 326 41 41,https://www.mariinsky.ru/,post@mariinsky.ru,0,1027810251006,7812024600,"59.925250,30.287261"
18689,"СПб ГБУК ""Камерный драматический театр ""Левендаль""","Theatre ""Levendal""",Государственное бюджетное учреждение культуры,"198302, Санкт-Петербург, ул. Маршала Казакова, д. 1, корп. 1","+7 (812) 757-93-55, +7 (812) 757-93-33
зарезервировать билеты +7 969-202-88-18",https://vk.com/teatr_levendal,"levendal89045123950@gmail.com , guzbrf@mail.ru",0,1187847161424,7805728564,"59.860709,30.249460"
18940,"Детский интеграционный театр ""Куклы"" (СПб театральное объединение ""Соль"")","Children's integration theatre ""Dolls""",негосударственное учреждение,"194223, Санкт-Петербург, ул. Жака Дюкло, 6 корп. 1",+7 911-925-48-63,http://www.duklo6.com,kukly.duklo@gmail.com,0,1077800021199,7810330137,"60.009809,30.358472"
18941,"Детский интерактивный театр ""Сундук со сказками"" (АНО)","Children's interactive theatre ""The chest with tales""",негосударственное учреждение,"195271, Санкт-Петербург, Кондратьевский пр., 64, корп. 4",+7 965-052-72-78,http://www.sunduksoskazkami.ru,sunduchoksoskazkami@gmail.com,0,1187800001872,7804619026,"59.982918,30.392825"
18942,"Инженерный театр ""АХЕ"" (АНО)","Engineering theatre ""AXE""",негосударственное учреждение,"195248, Санкт-Петербург, ш. Революции, д. 84 
(Театральная площадка «Порох»)",+7 960-242-80-78,http://www.akhe.ru,axegroup@mail.ru,0,1107800003816,7840019137,"59.961259,30.452865"
18943,"Инклюзивный театр ""ШедЭврика""","Inclusive thearte ""Shedevrika""",негосударственное учреждение,"занятия проходят в СПбГУ КЦ ""Троицкий""
пр. Обуховской обороны, д. 223, кл. № 206","+7 906 265 47 31, +7 921 577 63 39",https://vk.com/club625132,shedevrika@gmail.com,1,-,-,"59.864067,30.465920"
18944,"Лаборатория театрально-визуального искусства ""ART-измерение""","Theatre and Visual Art Laboratory ""ART-space""",негосударственное учреждение,"191015, Санкт-Петербург, Кирочная ул., д. 54, лит. Е",+7 911-185-70-20,https://www.artizmerenie.art/,artizmerenie@gmail.com,0,1157847278346,7841027243,"59.943620,30.379724"
18945,"Молодёжный включённый театр ""Питер Шед"" (АНО)","Youth inclusive teatre ""Piter Shed""",негосударственное учреждение,"194044 , Санкт-Петербург, Большой Сампсониевский пр., д. 37 (Дом молодежи «Форпост»)",+7 952-393-97-89,"https://www.pitershed.ru/ , https://vk.com/pitershed",pitershed@mail.ru,0,1077800005392,7801268034,"59.967503,30.342774"
18946,"Музыкальный Театр Детей Марины Ланда ""Радуга"" (АНО)","Children's Musical Theatre of Marina Kfylf ""Rainbow""",негосударственное учреждение,"191014, Санкт-Петербург, ул. Маяковского, д. 19/15",+7 921-424-64-65,http://teatrlanda.ru,iinfo@teatrlanda.ru,0,1097800006886,7841016837,"59.938568,30.355527"
18947,Народный театр юного зрителя,National Theatre of Young Spectators,негосударственное учреждение,"194044, Санкт-Петербург, ул. Комиссара Смирнова, д. 15, лит. А (ДК «Выборгский»)","+7-911-257-71-57, +7-911-162-32-72",http://dkvyborgsky.ru/teams/list/,vdk2003@mail.ru,0,1027801536180,7802050312,"59.96303,30.348324"
18948,"Открытый общественный театр ""Родом из блокады""","Open public theare ""Originally from blockade""",негосударственное учреждение,"195009 , Санкт-Петербург, Арсенальная наб., д. 13/1 
(Культурно-досуговый центр Калининского района)",8 (812) 542-66-11,https://vk.com/club14911445,-,0,1037858013379,7805130301,"59.953294,30.357353"
18949,"""Петербург-концерт"". ""Наш театр""","""Our Theatre""",государственное городское бюджетное учреждение культуры,"191023 , Санкт-Петербург, наб. реки Фонтанки, д. 41","8 (812) 710-40-91, 8-921-300-36-20",http://www.teatr-nashteatr.ru,teatr-nashteatr@mail.ru,0,1027809210615,7825332472,"59.930674,30.339199"
18950,"Православный драматический театр ""Странник""","Orthodox Drama Theatre ""Wanderer""",некоммерческое учреждение,"196084, Санкт-Петербург, Цветочная ул., д. 16, лит. К",8 (812) 387-53-73,http://православныйтеатрстранник.рф/,strannik.teatr@yandex.ru,0,-,-,"59.887997,30.330336"
18966,Санкт-Петербургский городской театр (АНО),CIty Theatre,негосударственное учреждение,"191014, Санкт-Петербург, Литейный пр., д. 46",8 (812) 922-34-42,https://goteatr.ru/,info@goteatr.ru,0,1167800054597,7842117041,"59.937589,30.348620"
18969,"Русский театр ""Морошка"" (АНО)","Russian theatre ""Moroshka""",государственное городское учреждение,"191028, Санкт-Петербург, Моховая ул., д. 31, пом. 2-Н",8 (812) 906-35-08,http://moroshka-spb.ru,directorsotera@mail.ru,0,1097800005610,7801269366,"59.941087,30.343592"
18971,"Санкт-Петербургский драматический театр ""Алые паруса""","St. Petersburg Theatre of Drama ""Scarlet Sails""",коммерческое учреждение,"197046, Санкт-Петербург, Малая Посадская ул., д. 23",+7 911-261-74-95,http://teatr-alye-parusa.narod.ru,alye.parusa@mail.ru,0,1157847436889,7838047063,"59.958295,30.330995"
18975,Санкт-Петербургский драматический театр им. графини С. В. Паниной (СПб ДК Железнодорожников),Countess S.V. Panina Drama Ttheatre,государственное городское учреждение,"192007, Санкт-Петербург, Тамбовская ул., д. 63",+7 906-225-27-57,http://teatrpaninoy.ru/,paninateatr@yandex.ru,0,-,-,"59.909317,30.351500"
18978,"Драматический театр ""Остров""","Drama Theatre ""Island""",негосударственное учреждение,"197101, Санкт-Петербург, Каменноостровский пр., д. 26/28","8 (812) 346-38-10, 8 (812) 346-43-43",http://www.ostrov-teatr.ru,nfo@ostrov-teatr.ru,0,1027806878550,7813071787,"59.961984,30.314753"
18981,"Санкт-Петербургский музыкально-драматический театр ""Синяя птица"" (АНО)","Musical dramatic theatre ""Blue bird""",негосударственное учреждение,"Санкт-Петербург, 18-я линия В.О., дом 53, литер Б , 4 этаж",+7 906-227-81-35,https://mdt-bluebird.ru,mdt.bluebird@gmail.com,0,1147800001161,7801351652,"59.942017,30.259883"
18982,"Санкт-Петербургский просветительский театр ""Новое поколение""","St. Petersburg Educational Theatre ""New generation""",негосударственное учреждение,"нет своей площадки
юр. адрес: 191186, Санкт-Петербург, набережная канала Грибоедова, д. 5, Офисный центр ""Грибоедов""",+7 921-919-01-82,http://www.teatr-pokoleniy.com/,sbdvorko@mail.ru,0,-,-,"59.939572,30.326717"
18984,"Санкт-Петербургский театр пантомимы ""Раздватри"" (АНО)","Pantomime theatre ""Onetwothree""",некоммерческое учреждение,"нет своей площадки
юр. адрес: 191015, Санкт-Петербург, Суворовский пр., д. 36, лит. А, пом. 9н",+7-911-257-57-79,https://123-spb.ru/,iola_123@mail.ru,0,1077800018780,7842013099,"59.940956,30.379077"
18986,"Санкт-Петербургский театр ""Под самой крышей""","Theatre ""Under the roof""",негосударственное учреждение,"196084 , Санкт-Петербург, Московский пр., д. 152 (КДЦ «Московский»)",+7 905-229-41-53,https://vk.com/club979303,funteatr@mail.ru,0,1037825013071,7811092654,"59.884537,30.321479"
18989,"Театр ""Lusores""","Theatre ""Lusores""",негосударственное учреждение,нет своей площадки,+7 911-940-81-30,https://vk.com/lusorestheatre,http://vk.com/id100679014,0,-,-,
18991,"Театр ""Аквариум"" (АНОК)","Theatre ""Aquarium""",негосударственное учреждение,"195267, Санкт-Петербург, пр. Просвещения, д. 87, к. 1",8 (812) 590-42-59,http://theater-aquarium.ru/,teatrakvarium@mail.ru,0,1147800003372,7804291190,"60.036217,30.414043"
